trade_date,open,high,low,close
20190102,37.2,37.38,36.3,36.44
20190103,36.26,36.83,36.0,36.2
20190104,35.99,37.07,35.8,36.99
20190107,37.66,37.66,36.66,36.99
20190108,37.05,37.2,36.68,36.86
20190109,38.25,39.5,37.82,39.0
20190110,38.86,39.78,38.6,39.29
20190111,39.5,39.95,38.85,39.84
20190114,39.91,40.36,39.32,39.45
20190115,39.5,41.02,39.33,41.0
20190116,41.0,41.46,40.62,41.2
20190117,41.2,41.7,40.88,40.91
20190118,41.45,42.1,41.04,42.08
20190121,42.2,42.8,41.6,42.09
20190122,42.1,42.31,41.02,41.3
20190123,40.99,42.05,40.99,41.46
20190124,41.8,42.09,41.21,41.59
20190125,41.73,42.1,40.7,41.9
20190128,42.18,43.0,41.8,41.84
20190129,41.84,43.0,41.46,43.0
20190130,42.79,42.9,42.1,42.1
20190131,42.88,43.6,42.45,43.53
20190201,44.35,44.5,43.53,44.26
20190211,43.96,46.32,43.9,46.08
20190212,46.0,46.9,45.65,46.49
20190213,46.74,47.23,45.9,46.8
20190214,46.9,47.31,46.5,47.15
20190215,46.75,46.75,45.0,45.27
20190218,45.8,46.46,45.55,46.4
20190219,46.48,47.34,45.61,46.08
20190221,46.5,47.42,45.64,45.86
20190222,45.9,45.9,44.35,45.61
20190225,47.5,49.39,46.69,49.17
20190226,48.35,48.7,47.35,47.36
20190227,47.15,48.21,47.15,47.64
20190228,47.65,48.18,47.45,47.78
20190301,48.1,48.67,47.87,48.57
20190304,49.11,50.2,48.6,48.96
20190305,49.42,49.5,48.71,49.0
20190306,49.38,49.68,48.7,49.1
20190307,49.0,49.0,47.18,47.56
20190308,46.66,47.23,45.7,45.8
20190311,45.85,46.68,45.85,46.58
20190312,47.4,47.62,45.76,46.16
20190313,46.18,46.64,45.53,46.23
20190314,46.2,47.17,46.15,46.41
20190315,47.3,48.58,46.84,47.93
20190318,47.5,49.5,47.3,49.32
20190319,49.53,49.77,48.68,49.25
20190320,49.25,49.45,48.38,48.9
20190321,48.65,48.8,48.08,48.24
20190322,48.3,48.82,47.71,48.6
20190325,47.68,48.2,46.56,46.69
20190326,47.1,47.1,45.91,46.57
20190327,46.98,47.8,46.59,47.57
20190328,47.58,47.74,46.81,47.14
20190329,47.01,48.88,47.01,48.73
20190401,49.3,53.57,49.25,52.93
20190402,52.93,53.36,51.73,51.9
20190403,51.46,52.56,51.45,52.2
20190404,52.2,53.98,52.19,53.65
20190408,53.65,55.66,53.2,54.18
20190409,55.51,56.35,54.2,55.01
20190410,54.7,55.57,53.65,54.72
20190411,54.72,54.75,52.31,52.44
20190412,51.85,52.43,50.47,51.29
20190415,52.05,53.3,51.5,51.5
20190416,51.0,52.88,50.65,52.88
20190417,53.13,53.59,51.97,53.0
20190418,53.53,54.33,53.1,53.42
20190419,53.35,55.75,52.7,55.08
20190422,54.99,54.99,52.2,52.79
20190423,52.2,52.85,51.57,52.27
20190424,52.5,52.83,51.55,52.6
20190425,52.3,52.3,51.28,51.41
20190426,50.97,51.36,49.26,49.37
20190429,49.37,51.98,49.36,51.31
20190430,51.4,53.5,51.4,52.4
20190506,49.9,51.04,49.0,49.07
20190507,50.3,51.49,49.9,50.75
20190522,51.51,53.22,51.0,51.41
20190523,50.7,50.8,49.4,49.51
20190524,49.28,50.28,49.01,49.82
20190527,49.82,50.08,48.88,49.75
20190528,49.77,51.22,49.77,50.51
20190529,50.05,50.92,49.85,50.38
20190530,49.37,49.72,48.5,49.45
20190531,49.0,50.15,48.95,49.6
20190603,49.79,50.99,49.75,50.12
20190604,50.13,50.59,49.21,49.7
20190605,50.42,50.54,49.25,49.51
20190606,50.1,50.1,48.87,49.12
20190610,49.56,50.0,49.34,49.76
20190611,49.69,51.84,49.6,51.47
20190612,51.34,51.62,50.83,51.51
20190613,51.69,51.69,50.21,51.03
20190614,51.28,51.9,50.55,50.57
20190617,50.87,51.25,50.39,50.79
20190618,50.76,51.3,50.5,50.91
20190619,52.5,52.97,52.01,52.01
20190620,52.36,53.95,52.11,53.29
20190621,52.81,53.57,51.83,52.11
20190624,51.83,52.62,51.4,52.18
20190625,52.0,52.18,51.0,51.44
20190626,51.51,51.83,51.32,51.51
20190627,51.7,52.28,51.35,51.77
20190628,51.69,52.19,51.4,51.86
20190701,52.97,54.45,52.76,54.09
20190702,53.66,55.1,53.56,54.81
20190703,55.22,55.32,53.68,54.09
20190704,54.45,55.1,54.0,54.4
20190705,54.37,55.5,53.56,55.27
20190708,54.72,55.05,54.01,54.39
20190709,54.3,54.48,53.36,53.84
20190710,54.3,54.3,53.48,53.9
20190711,54.02,55.27,53.92,54.39
20190712,54.45,55.15,54.18,54.78
20190715,54.51,55.3,53.68,54.67
20190716,54.8,54.85,53.11,53.52
20190717,53.33,53.47,52.52,52.72
20190718,52.5,52.92,52.02,52.69
20190719,53.39,53.39,52.49,52.59
20190722,52.7,53.2,52.0,52.8
20190723,52.8,53.22,52.71,53.2
20190724,53.59,53.9,53.3,53.38
20190725,53.38,53.64,53.04,53.45
20190726,53.1,53.6,53.02,53.43
20190729,53.64,54.38,53.41,54.01
20190730,54.28,55.38,54.25,55.2
20190731,55.13,55.66,54.56,54.7
20190801,54.39,54.98,53.15,53.6
20190802,51.5,53.0,51.05,52.75
20190805,51.63,52.65,51.52,51.6
20190806,50.61,51.58,49.32,51.51
20190807,51.76,51.88,51.03,51.03
20190808,51.23,52.0,51.2,51.8
20190809,52.1,52.35,51.01,51.22
20190812,51.0,51.68,50.51,51.25
20190813,51.05,51.66,50.05,50.32
20190814,51.09,51.2,50.06,50.17
20190815,49.3,50.11,48.61,49.96
20190816,50.0,50.65,49.59,50.32
20190819,50.8,51.75,50.55,51.57
20190820,51.57,51.87,51.18,51.46
20190821,51.2,52.05,51.02,51.69
20190822,51.9,52.33,51.37,51.83
20190823,52.15,52.65,51.68,52.25
20190826,51.19,51.51,50.63,51.04
20190827,51.5,52.39,51.31,52.05
20190828,52.02,52.45,51.65,52.22
20190829,52.15,52.5,51.6,51.93
20190830,52.6,53.4,52.1,52.78
20190902,53.7,54.75,53.51,54.23
20190903,54.78,54.99,54.08,54.31
20190904,54.25,54.78,53.6,54.45
20190905,54.88,54.97,53.83,53.9
20190906,54.1,54.38,53.47,54.21
20190909,54.69,54.89,53.82,54.11
20190910,54.0,54.08,53.2,53.84
20190911,54.0,54.4,53.15,53.4
20190912,53.88,54.3,53.52,54.1
20190916,54.4,54.41,53.35,53.47
20190917,53.25,53.46,52.74,53.0
20190918,53.27,53.27,52.57,52.71
20190919,53.09,53.44,52.58,52.84
20190920,53.12,53.2,52.1,52.7
20190923,52.64,52.64,51.69,52.08
20190924,52.04,52.45,51.56,52.07
20190925,52.0,52.0,51.01,51.08
20190926,51.19,51.47,50.5,51.0
20190927,51.0,51.39,50.66,51.32
20190930,51.1,51.78,50.91,51.1
20191008,51.4,52.81,51.25,52.65
20191009,52.24,52.65,51.91,52.5
20191010,52.48,52.48,51.77,52.18
20191011,52.43,53.05,52.11,52.92
20191014,53.33,53.82,53.1,53.45
20191015,53.75,53.94,53.17,53.47
20191016,53.77,54.2,53.46,53.66
20191017,54.03,54.03,52.96,53.22
20191018,53.57,53.97,52.45,52.65
20191021,52.7,53.65,52.7,53.48
20191022,53.78,54.16,53.5,53.94
20191023,53.58,54.1,53.5,53.73
20191024,53.84,53.9,53.26,53.75
20191025,53.98,53.98,52.78,53.8
20191028,54.0,54.12,53.37,53.59
20191029,53.95,54.47,53.7,54.0
20191030,53.68,54.0,53.06,53.47
20191031,55.0,55.99,54.54,55.5
20191101,55.8,59.5,55.6,58.89
20191104,59.55,60.0,58.71,59.14
20191105,59.49,60.08,58.78,59.39
20191106,59.77,60.3,59.27,59.84
20191107,59.7,59.7,58.79,59.5
20191108,60.78,60.8,59.33,59.62
20191111,58.65,58.71,57.0,57.2
20191112,56.7,57.1,55.75,56.09
20191113,56.88,56.91,56.11,56.55
20191114,56.88,56.98,55.61,56.59
20191115,56.72,57.0,56.36,56.55
20191118,56.55,56.98,55.8,56.69
20191119,56.58,57.98,56.4,57.83
20191120,58.0,58.01,57.11,57.15
20191121,57.0,57.25,55.75,56.2
20191122,56.47,57.2,55.46,55.73
20191125,55.73,56.54,55.02,56.53
20191126,57.3,57.35,56.14,56.56
20191127,55.43,55.59,54.67,55.13
20191128,55.74,55.74,54.76,55.17
20191129,55.11,55.14,53.68,54.3
20191202,54.58,55.09,54.32,54.75
20191203,54.76,55.03,54.09,54.53
20191204,54.29,55.39,54.0,55.36
20191205,55.85,55.87,55.11,55.53
20191206,55.64,56.74,55.53,56.2
20191209,56.6,57.5,56.18,56.81
20191210,56.72,57.88,56.7,57.65
20191211,57.67,57.78,56.8,57.06
20191212,57.53,57.67,56.8,56.92
20191213,58.0,58.5,57.57,58.4
20191216,58.1,58.33,57.8,58.11
20191217,58.11,58.95,57.74,58.5
20191218,58.8,59.3,57.91,58.2
20191219,58.0,58.5,57.86,58.08
20191220,58.35,58.6,57.8,57.8
20191223,58.32,58.32,56.98,57.27
20191224,57.29,57.5,56.78,57.08
20191225,57.2,57.75,57.0,57.2
20191226,57.4,57.73,57.16,57.6
20191227,57.8,58.13,57.16,57.2
20191230,57.0,58.6,56.65,58.23
20191231,58.17,58.4,57.91,58.25
20200102,58.66,59.89,58.41,59.75
20200103,59.9,59.96,58.18,58.26
20200106,57.8,58.2,56.0,57.2
20200107,57.4,58.21,57.2,58.05
20200108,57.51,58.98,57.37,58.28
20200109,58.8,59.73,58.5,59.45
20200110,59.97,60.49,59.45,59.99
20200113,60.5,60.66,59.5,60.11
20200114,60.5,60.8,59.72,59.88
20200115,59.9,60.0,58.88,59.5
20200116,60.0,60.06,59.23,59.66
20200117,59.99,61.0,59.49,60.31
20200120,60.8,60.96,59.83,60.2
20200121,59.7,59.76,58.03,58.1
20200122,57.52,57.96,56.0,57.48
20200123,56.1,56.74,55.0,55.1
20200203,49.59,52.59,49.59,50.19
20200204,50.3,52.82,50.3,52.79
20200205,52.92,53.47,52.45,52.87
20200206,52.87,53.96,52.36,53.79
20200207,53.5,53.53,52.2,52.83
20200210,52.3,52.78,51.72,52.3
20200211,53.19,54.99,52.8,54.68
20200212,54.57,55.36,54.02,54.89
20200213,54.56,54.58,53.5,53.8
20200214,53.5,53.96,53.18,53.74
20200217,53.34,54.42,53.24,54.4
